Date,WT_MGMR,Chla_MGMR,Cyanocell_MGMR,TN_MGMR,TP_MGMR,WL_UP_CHB,WL_MGMR,Discharge_UP_CHB,Discharge_MGMR,Prec_MGMR,Temp_MGMR,Forecast_Temp_MGMR
2020-11-30,9.9,2.3,49,2.516,0.028,4.857142857,0,565.587,0,0,7.328571429,8.914285714
2020-12-07,9,5.6,63,2.951,0.026,4.892857143,0,890.834,0,0,4.957142857,7.271428571
2020-12-14,5.8,8.8,47,3.009,0.025,4.86,0,770.247,0,0,4.1,6.828571429
2020-12-21,5.9,5.5,46,2.84,0.02,4.874285714,0,791.396,0,0,0.6,2.257142857
2020-12-28,5.2,5,15,,,4.845714286,0,626.028,0,2.7,4.142857143,5.528571429
2021-01-04,4,13.5,17,3.223,0.025,4.914285714,0,577.224,0,4.3,0.485714286,0.942857143
2021-01-11,,,,3.268,0.031,4.931428571,0,454.896,0,0,-3.371428571,-1.471428571
2021-01-18,,,,3.327,0.032,4.947142857,0,544.781,0,0,3.457142857,4.414285714
2021-01-25,5.6,30.9,0,3.416,0.026,4.954285714,0,590.29,0,7.05,6.685714286,6.314285714
2021-02-01,4.1,30.2,0,3.194,0.027,4.941428571,0,512.304,0,37.9,4.557142857,6.428571429
2021-02-08,4.3,42.8,0,3.349,0.034,4.914285714,0,254.089,0,0,3.942857143,7.157142857
2021-02-15,6.3,43.5,0,3.489,0.027,4.938571429,0,319.746,0,12.7,6.957142857,10.08571429
2021-02-22,10.1,42.7,0,3.542,0.035,4.862857143,0,543.157,0,0,5.7,8.157142857
2021-03-01,9.9,29.8,0,3.465,0.281,4.848571429,0,539.056,0,63.5,8.742857143,11.52857143
2021-03-08,8.7,37.5,0,3.55,0.031,4.938571429,0,1707.42,0,10.6,7.357142857,12.14285714
2021-03-15,12.2,38.5,0,3.697,0.031,4.921428571,0,1381.44,0,27.6,10.58571429,14.97142857
2021-03-22,11.9,22.4,0,3.228,0.033,4.865714286,0,812.186,0,5.8,11.91428571,16.11428571
2021-03-29,14.5,9.3,0,,,4.871428571,0,1114.628,0,59.7,13.95714286,17.1
2021-04-05,16,12.8,54,2.909,0.038,4.64,0,3121.824,0,57,14.07142857,18.75714286
2021-04-12,15.2,20.3,63,3.268,0.037,4.348571429,0,1924.833,0,19.8,12.85714286,17.88571429
2021-04-19,16.2,9.4,37,2.704,0.035,4.411428571,0,1624.206,0,14.45,13.57142857,18.57142857
2021-04-26,18.1,2.4,10,2.511,0.038,4.321428571,0,711.713,0,0,17.27142857,22.82857143
2021-05-03,17.7,4.3,608,2.326,0.042,4.198571429,0,776.774,0,8.3,15.52857143,20.81428571
2021-05-10,18.3,6.6,262,2.48,0.036,3.632857143,0,821.951,0,40,17.44285714,22.38571429
2021-05-17,19.7,13,571,2.246,0.026,3.641428571,0,1473.132,0,42,19.28571429,24.12857143
2021-05-24,21,15.7,262,2.82,0.028,3.47,0,2468.051,0,15.4,19.41428571,24.28571429
2021-05-31,22.3,22.8,3440,2.197,0.016,2.892857143,0,1081.378,0,15.75,18.87142857,24.54285714
2021-06-07,24,31.3,2389,1.933,0.015,2.37,0,1717.319,0,18.6,21.61428571,26.85714286
2021-06-14,24.5,25.8,4773,1.886,0.047,2.598571429,0,1448.329,0,64.65,23.5,28.34285714
2021-06-21,26.1,37.2,14750,1.717,0.022,2.722857143,0,1400.531,0,25.8,22.2,27.87142857
2021-06-28,26.3,29.6,6411,,,2.457142857,0,1602.093,0,0.15,23.17142857,27.3
2021-07-05,26.5,24.8,9459,1.779,0.073,2.334285714,0,1927.493,0,101.8,24.62857143,28.58571429
2021-07-12,24.8,10.3,195,2.31,0.084,4.608571429,0,13639.165,0,314.6,25.75714286,29.58571429
2021-07-19,28.1,17.4,1077,2.251,0.074,2.314285714,0,2839.72,0,33.7,27.47142857,32.65714286
2021-07-26,28.8,22.1,7525,2.011,0.058,2.271428571,0,1617.075,0,0,28.74285714,33.61428571
2021-08-02,30.8,23.3,42385,1.685,0.037,2.34,0,1380.722,0,3.8,28.77142857,33.6
2021-08-09,30.1,46.7,43392,1.372,0.037,2.407142857,0,2045.162,0,13.05,29.1,32.72857143
2021-08-16,27.25,25.05,10173.5,1.881,0.055,2.308571429,0,1930.348,0,20.05,25.57142857,30.94285714
2021-08-23,25.4,18.4,22276,2.052,0.102,2.384285714,0,2732.877,0,316.9,24.64285714,29.82857143
2021-08-30,25,13.1,615.5,,,3.562857143,0,14072.662,0,99.85,26.48571429,28.5
2021-09-06,22.8,12.7,1387,2.481,0.09,2.615714286,0,7377.797,0,68.2,23.5,26.8
2021-09-13,23.7,25.9,630,2.493,0.069,2.298571429,0,2968.886,0,0.75,24.14285714,27.3
2021-09-20,23.5,37.3,1365,2,0.028,2.271428571,0,2759.966,0,40.1,22.8,26.57142857
2021-09-27,23.4,42.9,720,2.254,0.023,2.32,0,2103.468,0,16.4,22.24285714,25.81428571
2021-10-04,24.1,38.6,2028,1.902,0.027,2.308571429,0,2048.21,0,45.95,22.65714286,25.84285714
2021-10-11,23.5,44.3,3710,1.816,0.02,2.36,0,1458.225,0,8.8,23.24285714,24.74285714
2021-10-18,20.9,54.8,3947,2.089,0.02,2.412857143,0,2086.971,0,8.9,16.57142857,19.61428571
2021-10-25,17.8,65.1,1082,2.08,0.029,2.387142857,0,1463.616,0,1.1,13.1,16.48571429
2021-11-01,16.5,55.5,1046,2.034,0.017,2.435714286,0,972.542,0,0,14.27142857,18.71428571
2021-11-08,15.2,29.9,1744,1.994,0.019,3.244285714,0,675.713,0,30.15,14.18571429,17.37142857
2021-11-15,13.3,1.9,702,2.024,0.021,3.292857143,0,769.612,0,0,9.514285714,12.82857143
2021-11-22,12.6,2.7,835,2.288,0.027,3.808571429,0,391.517,0,0.05,10.65714286,14.57142857
2021-11-29,10.6,8.3,15,,,4.302857143,0,861.553,0,0,7.542857143,9.5
2021-12-06,8.5,10.6,568,2.064,0.034,4.331428571,0,1215.882,0,35.2,5.585714286,9.228571429
2021-12-13,7.7,4.3,350,2.012,0.027,4.281428571,0,787.291,0,0,8.442857143,10.35714286
2021-12-20,6.3,9,0,2.382,0.033,4.77,0,612.907,0,3.2,3.257142857,5.285714286
2021-12-27,4.2,11.4,68,2.847,0.03,4.865714286,0,531.051,0,0,2.071428571,4.857142857
2022-01-03,,,,2.496,0.039,4.917142857,0,568.594,0,0,1.8,3.128571429
2022-01-10,4,11.5,0,2.613,0.033,4.934285714,0,562.591,0,0.25,3.142857143,4.657142857
2022-01-17,2.9,10.9,0,2.882,0.035,4.91,0,526.308,0,0,0.857142857,2.271428571
2022-01-24,3.6,11,0,2.991,0.03,4.937142857,0,522.435,0,0.05,2.828571429,4.2
2022-01-31,3.4,16.5,0,2.656,0.031,4.921428571,0,518.653,0,0,4.014285714,5.557142857
2022-02-07,3,17.5,0,2.98,0.032,4.898571429,0,351.72,0,0,1.557142857,3.585714286
2022-02-14,4.9,22.3,0,3.111,0.029,4.915714286,0,216.714,0,0,6.085714286,7.142857143
2022-02-21,4.1,19,0,2.72,0.034,4.915714286,0,270.33,0,0,1.271428571,4.214285714
2022-02-28,5,25.3,0,,,4.844285714,0,366.963,0,0,4.328571429,7.242857143
2022-03-07,6.5,25.1,0,3.234,0.033,4.825714286,0,445.59,0,1.8,7.6,11.28571429
2022-03-14,9,23.8,90,3.134,0.034,4.844285714,0,425.947,0,17.05,11.41428571,15.67142857
2022-03-21,10.4,15.3,0,2.961,0.028,4.887142857,0,834.256,0,26,9.285714286,13.85714286
2022-03-28,12.3,19.9,0,3.756,0.027,4.947142857,0,1231.159,0,57.9,11.54285714,14.8
2022-04-04,14,20.8,0,3.388,0.029,4.968857143,0,1324.55,0,0.05,10.98571429,15.52857143
2022-04-11,17.5,17.1,38,3.17,0.032,4.932,0,855.248,0,0.35,15.35714286,19.97142857
2022-04-18,17.3,6.1,0,2.722,0.024,4.937714286,0,631.281,0,0,14.04285714,20.75714286
2022-04-25,20.1,3.6,0,2.501,0.03,4.865428571,0,577.357,0,7.5,17.15714286,22.81428571
2022-05-02,19,6.6,0,2.173,0.036,4.972285714,0,1160.539,0,94.4,15.2,22.45714286
2022-05-09,20.6,5.6,0,1.951,0.026,4.856857143,0,665.235,0,0,17.1,23.38571429
2022-05-16,21.6,8.7,0,2.172,0.038,4.901714286,0,573.217,0,0.4,18.7,23.85714286
2022-05-23,23.5,21.7,1648,1.718,0.026,4.860857143,0,496.797,0,0,21.01428571,27.41428571
2022-05-30,24.5,18,1241,,,4.557428571,0,573.153,0,0.1,23.34285714,28.55714286
2022-06-06,23.2,21.4,6385,1.799,0.019,4.126,0,737.47,0,46.5,21.87142857,27.47142857
2022-06-13,23.8,60.8,45415,1.593,0.028,4.130857143,0,997.915,0,1.75,20.24285714,26.28571429
2022-06-20,27.2,28.15,86062.5,1.376,0.022,4.155428571,0,863.064,0,9.3,23.21428571,27.8
2022-06-27,26.9,24.35,52515,1.256,0.034,4.157714286,0,1247.682,0,39.35,25.58571429,30.17142857
2022-07-04,29.6,48.1,58112.5,1.784,0.036,4.173428571,0,1390.979,0,16.45,27.48571429,30.28571429
2022-07-11,29.25,40.4,104510.5,1.228,0.039,4.162571429,0,1138.908,0,16.45,27.84285714,31.75714286
2022-07-18,30,56.85,111558.5,0.804,0.037,4.033714286,0,1388.493,0,64.2,26.78571429,30.3
2022-07-25,29.55,58.6,118245.5,1.363,0.041,4.138857143,0,1705.928,0,44.2,26.58571429,30.55714286
2022-08-01,29.25,34.85,101802.5,1.188,0.068,4.038,0,918.294,0,3.45,28.15714286,32.12857143
2022-08-08,30.35,50.05,259633.5,0.941,0.055,3.621428571,0,2289.314,0,16.7,29.68571429,32.08571429
2022-08-15,28.9,97.6,11428.5,1.237,0.038,3.036285714,0,3997.178,0,6.2,29.3,30.82857143
2022-08-22,28.5,54.6,7991,1.497,0.042,3.114285714,0,3894.855,0,56.3,26.51428571,30.68571429
2022-08-29,27.1,51,4719,,,3.084,0,1889.439,0,8.5,24.72857143,28.48571429
2022-09-05,,,,2.238,0.055,3.084285714,0,3900.415,0,125.2,23.78571429,26.65714286
2022-09-12,24,9,279,3.117,0.068,5.292285714,0,9796.433,0,153.9,23.94285714,27.1
2022-09-19,24.4,28.3,1289,2.676,0.041,3.799428571,0,2430.069,0,31.25,25.65714286,27.22857143
2022-09-26,23.2,54.5,3112,2.446,0.025,2.578857143,0,1510.231,0,0.05,20.38571429,24.72857143
2022-10-03,23.5,58.3,1343,2.292,0.026,2.289714286,0,1457.04,0,1.1,22.31428571,25.84285714
2022-10-10,20.3,23.9,5815,2.213,0.024,2.269142857,0,1550.759,0,21.85,18.18571429,20.77142857
2022-10-17,20.4,5.8,21584,2.082,0.043,2.280857143,0,1137.361,0,0,17.64285714,20.74285714
2022-10-24,18.1,7.15,18887,2.184,0.033,2.312571429,0,1064.16,0,0.1,14.31428571,17.95714286
2022-10-31,17,7.55,11809,2.417,0.032,2.347714286,0,965.793,0,0.1,14.98571429,17.54285714
2022-11-07,15.35,10.5,4498,2.409,0.03,2.333257143,0,923.47,0,0,11.68571429,16.72857143
2022-11-14,,,,2.123,0.023,2.338957143,0,1040.984,0,33.7,14.64285714,17.22857143
2022-11-21,14.2,5.5,1037,2.067,0.025,3.428314286,0,585.864,0,0.1,12.48571429,15.45714286
2022-11-28,13.2,6.5,3447,,,4.784285714,0,425.107,0,4.8,12.91428571,13.52857143
2022-12-05,9.5,6.4,587,2.543,0.022,4.923242857,0,1022.364,0,15.4,5.55,7.128571429
2022-12-12,8.5,9.4,316,2.455,0.023,4.8783,0,609.099,0,1.35,6.1,6.5
2022-12-19,5.7,11.1,0,2.454,0.028,4.835714286,0,585.562,0,0.1,1.014285714,1.557142857
2022-12-26,3.5,10.8,11,2.349,0.025,4.903385714,0,495.603,0,10,0.457142857,1
2023-01-02,2.9,13.7,0,2.132,0.022,4.941557143,0,566.613,0,0,2.257142857,3
2023-01-09,3.5,19,50,2.614,0.018,4.937671429,0,463.563,0,0.05,3.557142857,4.9
2023-01-16,4.6,6.7,122,2.547,0.029,4.949214286,0,768.451,0,72.5,7.485714286,8.228571429
2023-01-23,,,,2.93,0.022,4.931042857,0,579.196,0,0,2.228571429,2.428571429
2023-01-30,2.4,17.4,101,3.236,0.033,4.866114286,0,277.146,0,0,-1.471428571,-0.142857143
2023-02-06,,,,2.978,0.027,4.9209,0,231.193,0,0,3.885714286,5.628571429
2023-02-13,4.7,26,0,3.102,0.035,4.942328571,0,389.151,0,29,6.7,9.257142857
2023-02-20,5.6,30.7,71,3.09,0.04,4.857642857,0,390.006,0,3.7,6.514285714,8.3
2023-02-27,7,31.8,54,,,4.8704,0,346.319,0,0.1,6.085714286,8.342857143
2023-03-06,8.2,21.5,12,,,4.845457143,0,353.737,0,0.6,8.371428571,13.05714286
2023-03-13,9.7,17.8,0,,,4.855214286,0,371.843,0,17.6,12.3,17.67142857
2023-03-20,12,20,0,,,4.839871429,0,346.609,0,0.05,11.4,14.98571429
2023-03-27,13.5,8.7,0,,,4.868442857,0,480.288,0,48.55,14.12857143,18.3
2023-04-03,15.1,5,0,2.998,0.023,4.871685714,0,386.881,0,0,14.71428571,20.34285714
2023-04-10,15.2,2.9,0,3.118,0.037,4.918185714,0,809.677,0,50.5,14.37142857,18.3
2023-04-17,15.8,7,0,3.322,0.04,4.8726,0,585.79,0,11.15,14.27142857,19.22857143
2023-04-24,16.6,19.7,0,3.54,0.044,4.869085714,0,401.658,0,0.15,16.75714286,21.01428571
2023-05-01,18.4,6.5,0,2.855,0.033,4.850771429,0,518.485,0,25.2,15.14285714,20.21428571
2023-05-08,17.2,7.5,666,3.539,0.1,4.875842857,0,4982.884,0,170.6,16.28571429,22.3
2023-05-15,20.7,34.9,278,3.527,0.041,4.847528571,0,2089.955,0,8.4,17.81428571,23.94285714
2023-05-22,22.2,54.9,6338,2.561,0.018,4.861157143,0,834.971,0,26.9,19.98571429,26.42857143
2023-05-29,22,22.1,128,,,4.850914286,0,1608.185,0,88.55,20.51428571,25.58571429
2023-06-05,22.6,15,1154,2.422,0.074,4.908571429,0,3452.709,0,6.75,21.55714286,26.85714286
2023-06-12,26.2,48.3,164455,2.145,0.037,4.831542857,0,999.103,0,0.45,23.04285714,27.98571429
2023-06-19,27.2,13,8610,2.061,0.042,4.841042857,0,1408.898,0,1.5,24.52857143,29.05714286
2023-06-26,26.4,21.6,53030,2.141,0.04,4.850128571,0,1738.609,0,54.55,23.91428571,28.9
2023-07-03,26.1,12.3,2608,2.248,0.054,4.859228571,0,11232.589,0,59.7,25.62857143,29.65714286
2023-07-10,23.9,7,969,2.549,0.061,4.902728571,0,11513.936,0,86.35,25.57142857,30.34285714
2023-07-17,,,,,,6.054242857,0,28604.941,0,245.1,26.07142857,29
2023-07-24,24,5.2,220,2.194,0.084,5.778871429,0,27310.616,0,140.3,26.41428571,30.37142857
2023-07-31,28.6,19.9,878,,,4.875071429,0,7114.983,0,2.6,29.22857143,31.74285714
2023-08-07,31,49.6,10452,1.882,0.03,4.800128571,0,1789.633,0,0,30.67142857,33.5
2023-08-14,26,6.3,981,2.157,0.094,5.229785714,0,19866.289,0,299.4,27.44285714,31.71428571
2023-08-21,29.4,17.7,1717,2.187,0.083,4.854542857,0,3216.255,0,24.75,27.94285714,31.65714286
2023-08-28,28,6.1,2300,2.149,0.074,4.869414286,0,7342.847,0,148,27.87142857,30.45714286
2023-09-04,25.5,4,958,2.093,0.1,5.5742,0,18186.669,0,112.25,26.62857143,28.57142857
2023-09-11,26.6,20.4,2507,2.065,0.059,4.868057143,0,2443.157,0,0,25.7,29.31428571
2023-09-18,24.8,4.2,792,2.582,0.111,4.755185714,0,6213.475,0,203,25.14285714,27.47142857
2023-09-25,22.5,5.2,460,2.506,0.123,5.1044,0,13069.851,0,79.95,23.12857143,26.45714286
2023-10-02,22.7,40.8,1835,2.3,0.029,4.8039,0,5346.711,0,2.5,22.21428571,24.57142857
2023-10-09,21.1,55.1,1722,2.193,0.038,4.933771429,0,2806.528,0,1.5,19.05714286,21.97142857
2023-10-16,20.5,75.8,2120,2.003,0.039,4.929742857,0,1407.16,0,0,18.31428571,21.41428571
2023-10-23,19.2,84.8,1905,1.82,0.054,4.842214286,0,1006.621,0,1.2,15.21428571,19.22857143
2023-10-30,18.1,43.5,1152,,,4.823771429,0,900.068,0,0,15.84285714,20.12857143
2023-11-06,18.6,29.7,634,2.162,0.052,4.851185714,0,1184.036,0,50.8,18.68571429,19.87142857
2023-11-13,14.4,53.6,1515,2.176,0.033,4.831557143,0,1217.894,0,1,11.22857143,13.27142857
2023-11-20,12.4,4,972,1.816,0.022,4.817528571,0,932.207,0,10.4,8.142857143,10.68571429
2023-11-27,11.1,2.6,2531,2.216,0.023,4.829614286,0,747.82,0,0,9.042857143,10.05714286
2023-12-04,8.8,11.1,1970,2.314,0.026,4.842328571,0,830.138,0,0,5.385714286,7.614285714
2023-12-11,9.4,17.3,3158,2.586,0.021,4.8474,0,864.653,0,27.8,11.08333333,11.94285714
2023-12-18,7.6,15.9,151,3.425,0.079,4.862057143,0,5679.993,0,57.35,6.528571429,7.314285714
2023-12-25,4.4,17.5,90,3.079,0.054,4.872085714,0,2313.926,0,0,-0.714285714,0.557142857
